author,book,gutenberg_id,chapter,line,text
Thomas Hobbes,Leviathan,3207,0,1,LEVIATHAN
Thomas Hobbes,Leviathan,3207,0,2,By Thomas Hobbes
Thomas Hobbes,Leviathan,3207,0,3,1651
Thomas Hobbes,Leviathan,3207,0,4,"LEVIATHAN OR THE MATTER, FORME, & POWER OF A COMMON-WEALTH"
Thomas Hobbes,Leviathan,3207,0,5,ECCLESIASTICAL AND CIVILL
Thomas Hobbes,Leviathan,3207,0,6,Thomas Hobbes of Malmesbury
Thomas Hobbes,Leviathan,3207,0,7,"Printed for Andrew Crooke, at the Green Dragon in St. Paul's Churchyard,"
Thomas Hobbes,Leviathan,3207,0,8,1651.
Thomas Hobbes,Leviathan,3207,0,9,TRANSCRIBER'S NOTES ON THE E-TEXT:
Thomas Hobbes,Leviathan,3207,0,10,"This E-text was prepared from the Pelican Classics edition of Leviathan,"
Thomas Hobbes,Leviathan,3207,0,11,which in turn was prepared from the first edition. I have tried to
Thomas Hobbes,Leviathan,3207,0,12,"follow as closely as possible the original, and to give the flavour of"
Thomas Hobbes,Leviathan,3207,0,13,"the text that Hobbes himself proof-read, but the following differences"
Thomas Hobbes,Leviathan,3207,0,14,were unavoidable.
Thomas Hobbes,Leviathan,3207,0,15,"Hobbes used capitals and italics very extensively, for emphasis, for"
Thomas Hobbes,Leviathan,3207,0,16,"proper names, for quotations, and sometimes, it seems, just because."
Thomas Hobbes,Leviathan,3207,0,17,"The original has very extensive margin notes, which are used to show"
Thomas Hobbes,Leviathan,3207,0,18,"where he introduces the definitions of words and concepts, to give in"
Thomas Hobbes,Leviathan,3207,0,19,"short the subject that a paragraph or section is dealing with, and to"
Thomas Hobbes,Leviathan,3207,0,20,"give references to his quotations, largely but not exclusively biblical."
Thomas Hobbes,Leviathan,3207,0,21,"To some degree, these margin notes seem to have been intended to serve"
Thomas Hobbes,Leviathan,3207,0,22,"in place of an index, the original having none. They are all in italics."
Thomas Hobbes,Leviathan,3207,0,23,"He also used italics for words in other languages than English, and"
