author,book,gutenberg_id,chapter,line,text
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,1,"A VINDICATION OF THE RIGHTS OF WOMAN,"
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,2,"WITH STRICTURES ON POLITICAL AND MORAL SUBJECTS,"
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,3,BY MARY WOLLSTONECRAFT.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,4,WITH A BIOGRAPHICAL SKETCH OF THE AUTHOR.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,5,CONTENTS.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,6,INTRODUCTION.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,7,CHAPTER 1.  THE RIGHTS AND INVOLVED DUTIES OF MANKIND CONSIDERED.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,8,CHAPTER 2.  THE PREVAILING OPINION OF A SEXUAL CHARACTER DISCUSSED.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,9,CHAPTER 3.  THE SAME SUBJECT CONTINUED.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,10,CHAPTER 4.  OBSERVATIONS ON THE STATE OF DEGRADATION TO WHICH WOMAN
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,11,IS REDUCED BY VARIOUS CAUSES.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,12,CHAPTER 5.  ANIMADVERSIONS ON SOME OF THE WRITERS WHO HAVE RENDERED
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,13,"WOMEN OBJECTS OF PITY, BORDERING ON CONTEMPT."
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,14,CHAPTER 6.  THE EFFECT WHICH AN EARLY ASSOCIATION OF IDEAS HAS UPON
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,15,THE CHARACTER.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,16,"CHAPTER 7.  MODESTY.  COMPREHENSIVELY CONSIDERED, AND NOT AS A"
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,17,SEXUAL VIRTUE.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,18,CHAPTER 8.  MORALITY UNDERMINED BY SEXUAL NOTIONS OF THE IMPORTANCE
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,19,OF A GOOD REPUTATION
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,20,CHAPTER 9. OF THE PERNICIOUS EFFECTS WHICH ARISE FROM THE UNNATURAL
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,21,DISTINCTIONS ESTABLISHED IN SOCIETY.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,22,CHAPTER 10.  PARENTAL AFFECTION.
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,23,CHAPTER 11.  DUTY TO PARENTS
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,24,CHAPTER 12.  ON NATIONAL EDUCATION
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,25,CHAPTER 13.  SOME INSTANCES OF THE FOLLY WHICH THE IGNORANCE OF
Mary Wollstonecraft,A Vindication of the Rights of Woman,3420,0,26,WOMEN GENERATES; WITH CONCLUDING REFLECTIONS ON THE MORAL
