cname,ccodealp,year,region,wdi_pop,vdem_polyarchy,vdem_corr,ht_colonial
Antigua and Barbuda,ATG,1990,Caribbean,63328,NA,NA,British
Antigua and Barbuda,ATG,1991,Caribbean,63634,NA,NA,British
Antigua and Barbuda,ATG,1992,Caribbean,64659,NA,NA,British
Antigua and Barbuda,ATG,1993,Caribbean,65834,NA,NA,British
Antigua and Barbuda,ATG,1994,Caribbean,67072,NA,NA,British
Antigua and Barbuda,ATG,1995,Caribbean,68398,NA,NA,British
Antigua and Barbuda,ATG,1996,Caribbean,69798,NA,NA,British
Antigua and Barbuda,ATG,1997,Caribbean,71218,NA,NA,British
Antigua and Barbuda,ATG,1998,Caribbean,72572,NA,NA,British
Antigua and Barbuda,ATG,1999,Caribbean,73821,NA,NA,British
Antigua and Barbuda,ATG,2000,Caribbean,75055,NA,NA,British
Antigua and Barbuda,ATG,2001,Caribbean,76215,NA,NA,British
Antigua and Barbuda,ATG,2002,Caribbean,77195,NA,NA,British
Antigua and Barbuda,ATG,2003,Caribbean,78075,NA,NA,British
Antigua and Barbuda,ATG,2004,Caribbean,78941,NA,NA,British
Antigua and Barbuda,ATG,2005,Caribbean,79869,NA,NA,British
Antigua and Barbuda,ATG,2006,Caribbean,80895,NA,NA,British
Antigua and Barbuda,ATG,2007,Caribbean,82016,NA,NA,British
Antigua and Barbuda,ATG,2008,Caribbean,83251,NA,NA,British
Antigua and Barbuda,ATG,2009,Caribbean,84534,NA,NA,British
Antigua and Barbuda,ATG,2010,Caribbean,85695,NA,NA,British
Antigua and Barbuda,ATG,2011,Caribbean,86729,NA,NA,British
Antigua and Barbuda,ATG,2012,Caribbean,87674,NA,NA,British
Antigua and Barbuda,ATG,2013,Caribbean,88497,NA,NA,British
Antigua and Barbuda,ATG,2014,Caribbean,89236,NA,NA,British
Antigua and Barbuda,ATG,2015,Caribbean,89941,NA,NA,British
Antigua and Barbuda,ATG,2016,Caribbean,90564,NA,NA,British
Antigua and Barbuda,ATG,2017,Caribbean,91119,NA,NA,British
Antigua and Barbuda,ATG,2018,Caribbean,91626,NA,NA,British
Antigua and Barbuda,ATG,2019,Caribbean,92117,NA,NA,British
Antigua and Barbuda,ATG,2020,Caribbean,92664,NA,NA,British
Argentina,ARG,1990,South America,32637657,0.835,0.524,Spanish
Argentina,ARG,1991,South America,33105763,0.834,0.524,Spanish
Argentina,ARG,1992,South America,33568285,0.835,0.524,Spanish
Argentina,ARG,1993,South America,34027240,0.834,0.524,Spanish
Argentina,ARG,1994,South America,34488696,0.837,0.524,Spanish
Argentina,ARG,1995,South America,34946110,0.836,0.524,Spanish
Argentina,ARG,1996,South America,35389362,0.833,0.524,Spanish
Argentina,ARG,1997,South America,35815971,0.832,0.524,Spanish
Argentina,ARG,1998,South America,36233195,0.83,0.524,Spanish
Argentina,ARG,1999,South America,36653031,0.83,0.524,Spanish
Argentina,ARG,2000,South America,37070774,0.839,0.412,Spanish
Argentina,ARG,2001,South America,37480493,0.838,0.412,Spanish
Argentina,ARG,2002,South America,37885028,0.833,0.434,Spanish
Argentina,ARG,2003,South America,38278164,0.815,0.457,Spanish
Argentina,ARG,2004,South America,38668796,0.812,0.457,Spanish
Argentina,ARG,2005,South America,39070501,0.81,0.457,Spanish
Argentina,ARG,2006,South America,39476851,0.799,0.457,Spanish
Argentina,ARG,2007,South America,39876111,0.797,0.457,Spanish
Argentina,ARG,2008,South America,40273769,0.789,0.457,Spanish
